,borough,latitude,longitude
0,Lambeth,51.4952111,-0.1163354
1,Southwark,51.503925,-0.1049663
2,Redbridge,51.5763203,0.0454097
3,Hackney,51.5432402,-0.0493621
4,Bexley,51.4416793,0.150488
5,Lewisham,51.4624325,-0.0101331
6,Greenwich,51.4820845,-0.0045417
7,Hammersmith and Fulham,51.498314199999996,-0.22787818358222445
8,Sutton,51.357464449999995,-0.17362689496950337
9,Barking and Dagenham,51.5540907,0.15048888801039415
10,Hillingdon,51.542519299999995,-0.44833493117949663
11,Brent,51.5639957,-0.27590641378489267
12,Tower Hamlets,51.5081201,-0.07622237194643053
13,Wandsworth,51.4570271,-0.1932607
14,Islington,51.5384287,-0.0999051
15,Croydon,51.3713049,-0.101957
16,Haringey,51.587929849999995,-0.10541771297992009
17,Harrow,51.596827149999996,-0.3373046180437286
18,Enfield,51.6520851,-0.0810175
19,Kingston upon Thames,51.4096275,-0.3062621
20,Bromley,51.4028046,0.0148142
21,Newham,51.5300157,0.029309078788513746
22,Hounslow,51.4686132,-0.3613471
23,Havering,51.54437325,-0.14431380000000021
24,Barnet,51.65309,-0.2002261
25,Westminster,51.5004439,-0.1265398
26,Waltham Forest,51.59816935,-0.01783667461048707
27,Camden,51.54279655,-0.16248031357798964
28,Merton,51.41086985,-0.18809708858824303
29,Ealing,51.5126553,-0.3051952
30,Richmond upon Thames,51.4405529,-0.3076394377337949
31,Kensington and Chelsea,51.50379515,-0.20078938323179596
